Date,Open,High,Low,Close,Adj Close,Volume
2013-03-05,6.898500,6.898500,6.898500,6.847400,6.847400,0
2013-03-06,6.904900,6.904900,6.904900,6.898500,6.898500,0
2013-03-07,6.877400,6.877400,6.877400,6.904900,6.904900,0
2013-03-08,6.933500,6.933500,6.933500,6.877400,6.877400,0
2013-03-11,6.933500,6.933500,6.868300,6.933500,6.933500,0
2013-03-12,6.873100,6.873100,6.873100,6.868300,6.868300,0
2013-03-13,6.910500,6.910500,6.910500,6.873100,6.873100,0
2013-03-14,6.864700,6.864700,6.864700,6.910500,6.910500,0
2013-03-15,6.946100,6.946100,6.946100,6.864700,6.864700,0
2013-03-18,6.876500,6.876500,6.876500,6.946100,6.946100,0
2013-03-19,6.895700,6.895700,6.895700,6.876500,6.876500,0
2013-03-20,6.910300,6.910300,6.910300,6.895700,6.895700,0
2013-03-21,6.911500,6.911500,6.911500,6.910300,6.910300,0
2013-03-22,6.922200,6.922200,6.922200,6.911500,6.911500,0
2013-03-25,6.939400,6.939400,6.939400,6.922200,6.922200,0
2013-03-26,6.898100,6.898100,6.898100,6.939400,6.939400,0
2013-03-27,6.852500,6.852500,6.852500,6.898100,6.898100,0
2013-03-28,6.849200,6.849200,6.849200,6.852500,6.852500,0
2013-03-29,6.849200,6.849200,6.849200,6.852500,6.852500,0
2013-04-01,6.849200,6.849200,6.849200,6.849200,6.849200,0
2013-04-02,6.893700,6.893700,6.893700,6.849200,6.849200,0
2013-04-03,6.884800,6.884800,6.884800,6.893700,6.893700,0
2013-04-04,6.852200,6.852200,6.852200,6.884800,6.884800,0
2013-04-05,6.913600,6.913600,6.913600,6.852200,6.852200,0
2013-04-08,6.964500,6.964500,6.964500,6.913600,6.913600,0
2013-04-09,6.964500,6.976700,6.964500,6.964500,6.964500,0
2013-04-10,6.971100,6.971100,6.971100,6.976700,6.976700,0
2013-04-11,6.984500,6.984500,6.984500,6.971100,6.971100,0
2013-04-12,6.849100,6.849100,6.849100,6.984500,6.984500,0
2013-04-15,6.893600,6.902800,6.893600,6.849100,6.849100,0
2013-04-16,6.933600,6.933600,6.933600,6.893600,6.893600,0
2013-04-17,6.951200,6.951200,6.951200,6.933600,6.933600,0
2013-04-18,6.942300,6.942300,6.942300,6.951200,6.951200,0
2013-04-19,6.942300,6.958400,6.942300,6.951200,6.951200,0
2013-04-22,6.951100,6.951100,6.951100,6.958400,6.958400,0
2013-04-23,6.928900,6.928900,6.928900,6.951100,6.951100,0
2013-04-24,6.953400,6.953400,6.953400,6.928900,6.928900,0
2013-04-25,6.976500,6.976500,6.976500,6.953400,6.953400,0
2013-04-26,6.976500,6.976500,6.945900,6.976500,6.976500,0
2013-04-29,6.935500,6.935500,6.935500,6.945900,6.945900,0
2013-04-30,6.868000,6.868000,6.868000,6.935500,6.935500,0
2013-05-01,6.918000,6.918000,6.918000,6.868000,6.868000,0
2013-05-02,6.948500,6.948500,6.948500,6.918000,6.918000,0
2013-05-03,6.916500,6.916500,6.916500,6.948500,6.948500,0
2013-05-06,6.905300,6.905300,6.905300,6.916500,6.916500,0
2013-05-07,6.916500,6.916500,6.916500,6.905300,6.905300,0
2013-05-08,6.920700,6.920700,6.920700,6.916500,6.916500,0
2013-05-09,6.933200,6.933200,6.933200,6.920700,6.920700,0
2013-05-10,6.850600,6.850600,6.850600,6.933200,6.933200,0
2013-05-13,6.850600,6.870500,6.850600,6.850600,6.850600,0
2013-05-14,6.865000,6.865000,6.865000,6.870500,6.870500,0
2013-05-15,6.835200,6.835200,6.835200,6.865000,6.865000,0
2013-05-16,6.833000,6.833000,6.833000,6.835200,6.835200,0
2013-05-17,6.842400,6.842400,6.842400,6.833000,6.833000,0
2013-05-20,6.836300,6.836300,6.836300,6.842400,6.842400,0
2013-05-21,6.820200,6.820200,6.820200,6.836300,6.836300,0
2013-05-22,6.790200,6.790200,6.790200,6.820200,6.820200,0
2013-05-23,6.779300,6.779300,6.779300,6.790200,6.790200,0
2013-05-24,6.779300,6.798600,6.779300,6.779300,6.779300,0
2013-05-27,6.824100,6.824100,6.824100,6.798600,6.798600,0
2013-05-28,6.854400,6.854400,6.854400,6.824100,6.824100,0
2013-05-29,6.817700,6.817700,6.817700,6.854400,6.854400,0
2013-05-30,6.867500,6.867500,6.867500,6.817700,6.817700,0
2013-05-31,6.901000,6.901000,6.901000,6.867500,6.867500,0
2013-06-03,6.907100,6.907100,6.907100,6.901000,6.901000,0
2013-06-04,6.938700,6.938700,6.938700,6.907100,6.907100,0
2013-06-05,6.939000,6.939000,6.939000,6.938700,6.938700,0
2013-06-06,6.977800,6.977800,6.977800,6.939000,6.939000,0
2013-06-07,7.051500,7.051500,7.051500,6.977800,6.977800,0
2013-06-10,7.051500,7.054400,7.051500,6.977800,6.977800,0
2013-06-11,7.051500,7.129300,7.051500,6.977800,6.977800,0
2013-06-12,7.051500,7.129300,7.051500,6.977800,6.977800,0
2013-06-13,7.128400,7.180700,7.128400,7.128400,7.128400,0
2013-06-14,7.180700,7.180700,7.168400,7.180700,7.180700,0
2013-06-17,7.168400,7.220600,7.168400,7.168400,7.168400,0
2013-06-18,7.235700,7.235700,7.235700,7.220600,7.220600,0
2013-06-19,7.262000,7.262000,7.262000,7.235700,7.235700,0
2013-06-20,7.173400,7.173400,7.173400,7.262000,7.262000,0
2013-06-21,7.173400,7.173400,7.150800,7.173400,7.173400,0
2013-06-24,7.150800,7.150800,7.099600,7.150800,7.150800,0
2013-06-25,7.138700,7.138700,7.138700,7.099600,7.099600,0
2013-06-26,7.104800,7.104800,7.104800,7.138700,7.138700,0
2013-06-27,7.104800,7.104800,7.059700,7.104800,7.104800,0
2013-06-28,7.059700,7.111000,7.059700,7.059700,7.059700,0
2013-07-01,7.111000,7.111000,7.091300,7.111000,7.111000,0
2013-07-02,7.091300,7.095600,7.091300,7.091300,7.091300,0
2013-07-03,7.058300,7.058300,7.058300,7.095600,7.095600,0
2013-07-04,7.058300,7.076200,7.058300,7.058300,7.058300,0
2013-07-05,7.016100,7.016100,7.016100,7.076200,7.076200,0
2013-07-08,7.016100,7.056300,7.016100,7.016100,7.016100,0
2013-07-09,7.056300,7.056300,7.036700,7.056300,7.056300,0
2013-07-10,7.006600,7.006600,7.006600,7.036700,7.036700,0
2013-07-11,7.084800,7.084800,7.084800,7.006600,7.006600,0
2013-07-12,7.084800,7.084800,7.084500,7.084800,7.084800,0
2013-07-15,7.087200,7.087200,7.087200,7.084500,7.084500,0
